age,diet,height,location,date,Class
28,mostly anything,66,berkeley,2012-06-22,other
24,,71,san francisco,2012-06-28,stem
50,mostly anything,75,vallejo,2012-06-09,other
23,anything,66,san francisco,2012-06-15,other
21,strictly anything,70,san francisco,2012-06-29,other
27,mostly anything,62,san francisco,2012-06-12,other
27,,68,san francisco,2012-02-29,stem
43,,73,emeryville,2012-06-28,stem
27,strictly anything,68,san francisco,2012-06-27,other
26,,71,san francisco,2012-06-30,stem
26,,66,menlo park,2012-01-29,stem
30,,69,san francisco,2012-06-29,other
32,mostly vegetarian,68,berkeley,2012-05-15,other
43,mostly vegetarian,68,san francisco,2012-06-29,other
39,anything,68,san francisco,2012-06-12,other
22,strictly anything,68,berkeley,2012-06-30,other
33,,67,san francisco,2012-06-29,other
24,mostly vegan,75,berkeley,2012-06-24,other
50,mostly anything,73,benicia,2012-06-29,other
32,,67,oakland,2012-05-19,stem
23,,73,castro valley,2012-06-15,other
32,anything,62,san francisco,2012-06-28,other
59,anything,73,daly city,2011-08-15,other
36,anything,73,oakland,2012-06-29,other
29,,74,oakland,2012-06-29,other
39,mostly anything,63,berkeley,2012-06-25,other
24,,67,san francisco,2012-06-14,stem
28,,70,el cerrito,2012-06-07,other
50,,66,vallejo,2011-12-06,other
32,,64,menlo park,2011-07-19,other
41,,67,mill valley,2012-05-19,other
50,mostly vegetarian,63,san francisco,2012-06-29,other
44,,68,san francisco,2012-06-29,stem
48,mostly anything,68,oakland,2012-06-29,other
24,,75,oakland,2012-02-08,other
26,strictly anything,73,oakland,2012-06-27,other
29,mostly anything,61,san mateo,2012-06-26,other
40,,62,richmond,2012-05-07,other
29,vegetarian,68,san francisco,2012-05-30,other
54,mostly anything,69,redwood city,2012-06-20,other
20,,63,san rafael,2012-06-26,other
51,,62,oakland,2012-06-29,other
33,,66,el cerrito,2012-06-29,other
28,,66,san francisco,2012-06-27,other
37,,66,san francisco,2012-06-22,other
20,anything,72,berkeley,2012-06-30,other
30,,74,san francisco,2012-06-28,stem
36,mostly anything,72,san francisco,2012-06-29,other
26,mostly anything,63,berkeley,2012-06-23,other
26,mostly anything,68,san francisco,2012-06-18,stem
33,anything,66,oakland,2012-06-27,other
20,,66,san francisco,2012-03-20,other
31,strictly other,70,san rafael,2012-06-30,other
62,anything,73,menlo park,2012-05-15,other
33,,63,san francisco,2012-06-28,other
22,,69,el sobrante,2011-10-14,other
46,,66,san francisco,2011-09-24,other
27,mostly anything,68,walnut creek,2012-05-27,stem
29,mostly halal,72,san francisco,2011-08-23,other
36,strictly vegetarian,68,walnut creek,2012-04-30,other
25,mostly anything,71,el cerrito,2012-06-16,stem
32,mostly anything,69,oakland,2012-06-28,other
21,mostly anything,66,mill valley,2012-06-26,other
27,anything,68,san francisco,2012-06-29,other
38,mostly anything,70,san mateo,2012-01-23,other
27,,74,hayward,2012-06-30,other
44,,63,alameda,2012-06-28,other
52,,66,san francisco,2012-06-29,other
33,mostly anything,60,san francisco,2012-04-22,other
28,mostly anything,67,san francisco,2012-06-14,other
37,mostly anything,79,san francisco,2012-06-29,other
28,mostly vegetarian,61,berkeley,2012-02-24,stem
32,,69,belmont,2012-06-24,other
29,,69,oakland,2012-06-29,other
31,strictly vegetarian,67,oakland,2012-06-29,other
42,anything,71,stanford,2012-06-29,other
32,mostly anything,63,san francisco,2012-06-25,other
28,mostly anything,67,san francisco,2012-06-25,other
38,anything,63,san francisco,2011-08-01,other
27,,64,san francisco,2011-12-05,other
19,,62,daly city,2012-06-30,other
27,anything,65,san pablo,2012-06-29,other
28,mostly anything,67,san francisco,2012-06-29,stem
29,anything,66,menlo park,2012-06-17,other
31,strictly anything,63,oakland,2012-06-29,other
27,,63,san francisco,2012-06-29,other
43,strictly anything,69,oakland,2012-06-29,other
43,anything,71,san francisco,2012-06-16,other
24,mostly anything,69,san mateo,2012-06-27,other
34,,67,san francisco,2012-06-21,other
30,mostly anything,66,menlo park,2012-06-27,other
59,mostly anything,62,menlo park,2012-06-28,other
33,mostly anything,72,san francisco,2012-06-29,stem
41,anything,69,san francisco,2012-06-27,other
58,,69,oakland,2012-06-14,other
24,mostly vegetarian,59,novato,2012-04-25,other
39,,74,pacifica,2012-06-28,stem
33,,70,oakland,2012-06-15,other
43,strictly anything,65,san francisco,2012-06-29,other
29,mostly anything,70,berkeley,2012-06-29,other
28,,66,san francisco,2012-06-29,other
21,mostly anything,70,vallejo,2011-11-03,other
35,,64,redwood city,2012-05-16,other
32,,69,san francisco,2012-06-29,other
42,anything,63,lafayette,2012-06-29,other
23,,62,oakland,2012-06-27,other
30,strictly anything,68,half moon bay,2012-06-28,other
27,,71,san francisco,2012-01-26,other
41,,71,san francisco,2012-06-27,other
33,mostly anything,69,san francisco,2012-06-29,other
58,mostly anything,70,berkeley,2012-06-24,other
26,,72,san francisco,2012-06-29,other
50,mostly anything,66,fremont,2012-06-29,other
45,,65,orinda,2012-06-27,stem
66,mostly anything,65,oakland,2012-06-17,other
33,strictly anything,68,alameda,2012-04-02,other
32,,68,san mateo,2012-06-29,stem
53,,62,orinda,2012-06-29,other
28,mostly anything,72,hayward,2011-07-05,other
22,strictly vegetarian,63,san francisco,2012-06-30,other
19,,73,san mateo,2011-12-20,other
35,mostly other,67,san francisco,2012-06-28,other
51,,65,san mateo,2012-06-27,other
30,mostly anything,69,san mateo,2012-06-29,other
29,mostly other,80,berkeley,2012-06-29,other
32,,61,san francisco,2011-10-17,other
45,,63,oakland,2012-05-04,stem
28,mostly anything,73,oakland,2012-06-28,other
36,,63,san francisco,2012-03-31,other
40,,71,novato,2012-06-29,other
34,mostly anything,62,el cerrito,2012-06-29,other
24,,68,san anselmo,2012-06-23,other
39,anything,72,san francisco,2012-01-30,other
33,,65,berkeley,2012-04-06,other
26,anything,67,san francisco,2012-06-29,other
36,,67,castro valley,2011-10-10,other
46,strictly anything,68,oakland,2012-06-30,other
21,,67,oakland,2011-10-08,other
63,,67,san francisco,2012-06-27,other
30,anything,62,san pablo,2011-08-09,other
50,,63,vallejo,2012-06-26,other
50,mostly anything,64,berkeley,2012-06-28,other
34,,72,mountain view,2012-06-29,other
40,,62,san mateo,2012-06-29,other
46,mostly anything,66,san francisco,2012-06-30,other
41,mostly anything,67,burlingame,2012-04-08,other
29,mostly anything,62,oakland,2012-06-15,other
53,other,69,san mateo,2012-06-29,other
39,mostly vegetarian,69,berkeley,2012-06-29,stem
39,,64,san francisco,2012-06-29,other
24,,62,san francisco,2012-06-27,other
26,mostly anything,70,san francisco,2012-06-28,stem
25,,64,oakland,2012-06-29,other
59,mostly anything,63,corte madera,2012-06-29,other
28,,67,san francisco,2012-01-22,other
29,,68,san francisco,2011-07-18,other
35,strictly anything,67,berkeley,2012-06-28,stem
25,,65,south san francisco,2012-05-29,other
36,mostly anything,67,san francisco,2012-06-29,other
42,strictly anything,64,san rafael,2012-06-28,other
25,,71,mill valley,2012-05-19,other
27,strictly anything,80,hayward,2012-03-23,other
45,mostly other,60,menlo park,2012-06-27,other
37,,71,oakland,2012-06-30,other
47,mostly anything,69,san francisco,2012-06-28,other
24,,67,oakland,2012-05-18,other
53,,64,albany,2012-06-29,other
26,,62,san francisco,2012-05-09,other
49,mostly vegetarian,63,san rafael,2012-06-13,stem
24,,61,san francisco,2012-04-24,other
19,,69,pleasant hill,2011-12-27,other
26,strictly other,76,berkeley,2012-06-23,other
30,,70,san francisco,2012-06-11,other
26,mostly vegetarian,72,san francisco,2012-06-29,stem
36,mostly anything,63,berkeley,2012-06-29,other
24,,69,oakland,2012-06-28,other
47,mostly anything,72,walnut creek,2012-06-29,other
51,mostly anything,70,san leandro,2012-06-26,other
28,anything,73,san francisco,2012-06-29,other
48,mostly vegetarian,62,san francisco,2012-06-29,other
37,,62,oakland,2012-06-29,other
47,mostly anything,72,oakland,2012-06-29,other
34,anything,66,castro valley,2012-04-30,other
37,strictly anything,65,san francisco,2011-09-12,other
25,,70,san francisco,2012-06-30,other
32,mostly anything,71,san francisco,2012-03-25,other
42,mostly anything,71,berkeley,2012-06-28,other
33,mostly anything,64,vallejo,2011-11-04,other
34,anything,63,san francisco,2012-06-29,other
42,strictly other,75,san francisco,2012-06-28,other
29,strictly anything,70,el cerrito,2012-01-08,other
55,mostly anything,73,redwood city,2012-06-29,stem
32,,68,san francisco,2012-03-30,other
25,,69,berkeley,2011-08-08,other
31,mostly vegetarian,64,burlingame,2012-06-29,other
45,,68,san francisco,2012-05-22,other
39,anything,68,mountain view,2012-06-29,stem
50,mostly anything,74,berkeley,2012-06-30,stem
29,mostly vegetarian,61,redwood city,2012-06-29,other
50,,66,novato,2012-06-29,stem
43,,62,san francisco,2012-06-29,other
63,,67,berkeley,2012-06-19,other
35,strictly vegetarian,72,oakland,2012-06-28,stem
19,mostly vegetarian,67,san francisco,2012-05-27,other
62,anything,64,san carlos,2012-06-28,other
44,mostly anything,68,san francisco,2012-06-29,other
30,strictly anything,63,san francisco,2012-06-08,other
24,vegetarian,69,san francisco,2012-06-29,stem
40,mostly anything,68,san francisco,2012-06-29,other
63,mostly anything,65,mill valley,2012-06-05,other
45,,66,san francisco,2012-06-29,other
53,mostly anything,62,vallejo,2012-06-30,other
36,,72,san francisco,2011-09-30,other
22,strictly anything,70,san francisco,2012-06-26,other
19,,69,san mateo,2012-05-09,other
32,strictly anything,64,san francisco,2012-06-28,other
61,mostly anything,63,walnut creek,2012-06-25,other
20,,60,san lorenzo,2012-06-29,other
34,,65,san francisco,2012-06-28,other
34,anything,67,san francisco,2012-06-28,other
36,mostly anything,72,san francisco,2012-06-27,other
29,vegetarian,71,san francisco,2012-03-12,other
30,strictly anything,73,san carlos,2012-06-29,stem
40,mostly anything,68,oakland,2012-06-29,stem
28,,62,san francisco,2012-06-29,other
20,mostly anything,69,novato,2012-06-25,other
40,mostly anything,71,san francisco,2012-06-29,other
43,strictly anything,66,menlo park,2012-06-29,other
19,anything,72,belmont,2011-08-27,other
60,anything,68,richmond,2012-06-30,other
66,,73,pacifica,2012-06-29,other
39,strictly anything,67,san francisco,2012-06-19,other
28,,75,emeryville,2011-09-02,other
34,,74,berkeley,2012-06-27,other
32,,74,redwood city,2012-06-28,other
34,mostly anything,68,hayward,2012-06-28,other
29,,64,san francisco,2012-06-01,other
26,mostly vegetarian,75,san francisco,2012-06-30,stem
43,,63,foster city,2012-03-12,other
44,mostly anything,65,san francisco,2011-08-07,stem
32,,72,redwood city,2012-06-29,other
37,mostly vegetarian,68,oakland,2012-06-29,other
30,strictly anything,69,san rafael,2012-06-30,other
26,strictly anything,73,san francisco,2012-06-29,stem
23,,70,san francisco,2012-06-30,other
31,,69,alameda,2012-06-28,other
34,mostly anything,73,san francisco,2012-06-30,stem
48,mostly anything,69,san mateo,2012-06-21,other
35,,71,menlo park,2012-06-29,stem
25,,73,san francisco,2011-08-29,other
27,mostly anything,63,hercules,2012-06-17,stem
27,,67,san francisco,2012-06-29,other
22,,64,san francisco,2011-07-27,other
35,vegan,71,oakland,2012-06-29,other
26,,72,san francisco,2012-06-30,other
32,mostly anything,74,mountain view,2012-06-26,stem
32,,72,alameda,2012-06-28,other
23,mostly anything,71,san francisco,2012-06-27,other
40,,64,san francisco,2012-06-06,other
47,mostly anything,66,san francisco,2012-05-10,other
31,mostly anything,74,berkeley,2011-09-25,other
30,strictly anything,68,mountain view,2012-06-29,other
25,anything,70,san francisco,2012-06-29,other
33,anything,68,oakland,2012-06-28,other
54,mostly vegetarian,76,san francisco,2012-06-27,stem
30,,72,san francisco,2012-06-29,other
45,,70,san francisco,2012-06-29,other
30,strictly vegetarian,67,oakland,2012-06-29,other
49,,64,san francisco,2012-03-29,other
32,,68,daly city,2012-02-10,other
24,,66,san francisco,2012-06-29,other
57,strictly vegan,69,palo alto,2012-06-06,other
41,mostly anything,72,novato,2012-06-28,stem
37,,61,pacifica,2011-07-09,other
35,,74,san francisco,2012-06-30,stem
40,mostly anything,64,oakland,2012-06-21,other
50,,66,berkeley,2012-06-29,other
40,mostly anything,73,san francisco,2012-06-29,other
37,strictly vegetarian,76,berkeley,2012-05-07,other
60,mostly anything,71,san francisco,2012-06-26,other
47,,69,san francisco,2012-06-18,other
29,,71,orinda,2012-01-06,other
29,mostly anything,71,san francisco,2012-06-27,other
22,mostly anything,91,san francisco,2012-06-29,other
44,,74,menlo park,2011-09-22,other
57,mostly vegetarian,62,walnut creek,2012-06-29,other
43,mostly anything,67,berkeley,2012-06-29,other
20,mostly anything,62,oakland,2012-06-26,stem
29,mostly vegetarian,71,san francisco,2012-06-26,other
30,,70,oakland,2012-02-24,stem
25,,72,santa cruz,2012-06-29,stem
39,,72,palo alto,2011-09-28,stem
41,mostly anything,64,vallejo,2012-04-04,other
30,mostly anything,72,redwood city,2012-06-29,other
23,strictly anything,68,palo alto,2012-06-30,other
49,mostly other,68,san rafael,2012-06-28,other
59,anything,71,hayward,2012-06-28,stem
39,,66,oakland,2012-06-27,other
38,,67,alameda,2012-02-11,other
59,anything,68,menlo park,2012-06-28,other
26,mostly kosher,61,san francisco,2012-06-27,other
33,mostly anything,73,san francisco,2012-06-28,other
46,,71,san francisco,2012-06-26,stem
36,strictly anything,71,san francisco,2012-03-01,stem
40,mostly anything,64,oakland,2012-05-19,other
29,,72,san francisco,2012-06-28,other
30,vegetarian,67,oakland,2012-06-26,stem
30,,65,san francisco,2012-06-29,other
33,,74,oakland,2011-12-17,other
29,anything,68,san francisco,2012-06-25,stem
23,,61,berkeley,2012-06-27,other
33,,71,san francisco,2012-06-09,other
28,mostly anything,67,san francisco,2012-05-28,stem
31,,65,san francisco,2011-10-16,other
29,mostly vegetarian,79,oakland,2012-06-28,other
44,,61,palo alto,2012-06-29,stem
28,,66,san francisco,2011-09-16,other
47,anything,76,san mateo,2012-06-20,other
24,mostly anything,69,alameda,2011-12-04,stem
28,mostly anything,70,san francisco,2012-06-27,stem
40,,65,oakland,2012-06-28,other
24,mostly anything,72,san francisco,2012-06-29,other
20,,71,oakland,2011-12-04,other
39,mostly anything,71,san francisco,2012-01-16,other
52,,62,san francisco,2011-10-31,other
39,,70,san francisco,2012-06-29,other
33,,72,oakland,2012-06-29,other
26,strictly other,70,san francisco,2012-06-29,other
31,,69,san francisco,2012-06-24,other
27,,71,berkeley,2012-06-29,other
60,mostly anything,70,walnut creek,2012-06-20,stem
52,strictly anything,65,san francisco,2012-06-30,other
42,,64,san lorenzo,2011-06-28,other
31,,68,berkeley,2012-05-28,other
38,mostly vegetarian,68,bolinas,2012-06-29,other
26,,67,san francisco,2012-06-25,other
32,,64,san francisco,2012-06-29,other
40,,72,san mateo,2012-04-24,other
32,anything,61,san francisco,2012-06-28,stem
31,mostly vegan,64,berkeley,2012-02-10,other
32,,72,san francisco,2012-06-30,other
22,mostly anything,64,san francisco,2012-06-29,other
37,anything,70,san francisco,2012-06-30,other
33,anything,63,oakland,2012-06-27,other
44,strictly anything,72,san francisco,2012-06-28,other
18,,66,hayward,2012-03-25,other
38,,65,san francisco,2012-06-29,other
23,mostly anything,64,san francisco,2012-06-30,other
33,,65,san francisco,2012-06-27,stem
24,mostly other,64,oakland,2012-04-03,other
32,mostly anything,64,san francisco,2012-06-29,other
27,,63,hayward,2011-12-15,other
39,strictly vegan,63,oakland,2012-06-24,other
47,mostly vegetarian,66,mill valley,2012-06-29,other
33,mostly anything,70,oakland,2012-03-20,stem
38,,70,san francisco,2012-04-22,other
42,,67,san francisco,2012-05-04,other
42,mostly anything,70,san francisco,2012-06-29,other
21,mostly anything,68,berkeley,2012-06-29,other
35,mostly anything,73,berkeley,2012-06-03,stem
38,mostly vegetarian,64,san francisco,2012-04-21,stem
34,,64,san francisco,2012-06-11,other
27,,71,oakland,2012-06-27,other
29,,71,san francisco,2012-06-29,other
27,,62,san francisco,2012-05-28,other
23,mostly anything,67,san francisco,2012-06-27,other
33,mostly anything,67,alameda,2012-06-19,other
25,mostly anything,70,san francisco,2012-06-28,other
31,,66,san francisco,2012-05-30,other
24,,72,san francisco,2012-02-20,other
49,anything,70,oakland,2012-06-22,other
23,strictly anything,72,san francisco,2012-06-24,other
23,,66,san mateo,2012-05-06,other
22,mostly vegetarian,63,san francisco,2012-06-17,other
48,mostly anything,70,san francisco,2012-06-25,other
27,anything,71,berkeley,2012-06-20,other
30,,68,san francisco,2012-06-29,stem
59,mostly anything,64,san rafael,2012-06-29,other
27,,70,san francisco,2012-06-29,other
24,mostly anything,68,san francisco,2012-06-29,stem
32,mostly anything,69,san francisco,2012-06-30,other
24,anything,74,san francisco,2012-06-06,other
32,anything,72,san francisco,2012-06-03,other
30,strictly anything,75,san francisco,2012-06-29,other
40,,65,mill valley,2012-06-29,other
18,strictly anything,73,sausalito,2012-06-30,other
29,,69,millbrae,2012-06-29,other
32,,62,menlo park,2012-06-24,other
27,mostly vegetarian,64,palo alto,2012-02-05,other
56,,68,san francisco,2011-11-26,other
35,,70,oakland,2012-04-11,other
20,strictly anything,67,oakland,2012-06-26,other
30,strictly anything,72,san francisco,2012-06-27,other
43,mostly anything,69,san francisco,2012-06-30,stem
27,anything,68,san francisco,2012-06-30,other
30,mostly anything,71,san francisco,2012-06-26,other
58,,72,novato,2012-06-27,other
31,mostly anything,68,san francisco,2011-08-31,other
34,mostly anything,72,berkeley,2012-06-28,other
41,mostly anything,75,san francisco,2012-03-05,other
27,,67,san francisco,2012-06-27,other
37,anything,68,san francisco,2012-06-03,other
35,mostly anything,67,san francisco,2012-06-27,other
26,,73,san rafael,2012-04-15,other
28,,72,san francisco,2012-06-28,other
32,mostly anything,76,san francisco,2012-06-12,other
38,,68,san francisco,2012-06-29,other
42,mostly anything,72,san francisco,2012-06-25,other
25,,67,san rafael,2012-06-04,other
34,anything,66,san francisco,2012-03-19,other
46,anything,71,san francisco,2012-06-28,other
31,strictly anything,69,san francisco,2012-06-22,other
26,mostly anything,64,san francisco,2012-06-27,other
37,mostly anything,75,san francisco,2012-06-15,other
28,mostly anything,69,san francisco,2012-06-29,other
21,vegetarian,67,san francisco,2012-06-28,other
50,mostly anything,70,san francisco,2012-06-29,other
24,,71,mill valley,2012-01-25,other
24,mostly anything,74,san francisco,2012-06-22,stem
32,anything,69,san francisco,2012-06-29,other
50,mostly anything,68,san francisco,2012-05-26,stem
33,,60,san francisco,2012-06-29,other
38,other,68,san francisco,2012-06-29,other
49,strictly anything,70,san francisco,2012-06-29,other
35,,70,san francisco,2012-06-13,other
20,vegan,60,san francisco,2012-06-11,other
22,,67,san francisco,2012-06-29,other
32,mostly anything,83,hayward,2012-01-08,other
25,,70,vallejo,2012-06-29,other
26,strictly vegan,59,san francisco,2011-08-09,other
23,mostly anything,71,san francisco,2012-06-15,other
43,anything,77,san francisco,2012-06-29,other
28,mostly anything,69,san francisco,2012-06-23,other
44,mostly anything,76,san leandro,2012-06-29,other
22,mostly anything,71,stanford,2012-06-22,other
31,mostly vegetarian,68,san francisco,2012-06-28,other
65,,70,san francisco,2012-06-26,other
36,,70,larkspur,2012-06-27,other
35,mostly anything,62,san francisco,2012-06-18,other
40,mostly other,70,oakland,2012-06-29,other
30,mostly anything,66,san francisco,2012-06-29,other
26,strictly vegetarian,72,san francisco,2012-06-29,other
23,mostly vegetarian,73,san francisco,2012-06-27,other
27,,68,oakland,2012-06-29,other
36,strictly anything,72,orinda,2012-06-30,other
41,strictly anything,66,san francisco,2012-06-23,other
45,mostly anything,70,larkspur,2012-04-09,other
48,,68,hayward,2012-06-25,other
26,strictly anything,76,oakland,2012-06-30,other
23,mostly anything,67,san francisco,2012-06-28,other
28,,68,san leandro,2012-05-05,other
29,anything,74,san mateo,2012-06-30,other
42,,67,san francisco,2012-06-17,other
33,anything,60,emeryville,2012-06-26,other
52,anything,70,castro valley,2012-05-03,other
25,mostly anything,63,redwood city,2012-04-24,other
61,mostly anything,68,moraga,2012-06-28,other
28,mostly anything,71,san francisco,2012-06-25,other
35,strictly vegetarian,73,san francisco,2012-06-28,other
34,,72,oakland,2012-06-28,other
59,,68,redwood city,2012-06-27,other
31,,77,vallejo,2012-06-04,other
19,,73,martinez,2012-06-29,other
29,mostly anything,68,menlo park,2011-11-12,other
55,,66,berkeley,2012-06-29,other
45,mostly anything,65,daly city,2012-06-29,stem
49,mostly anything,69,benicia,2012-06-24,other
21,mostly anything,71,menlo park,2012-03-28,stem
27,,61,san francisco,2012-02-07,other
24,,68,san francisco,2012-06-29,other
25,mostly anything,63,berkeley,2012-06-29,other
44,mostly vegetarian,63,san francisco,2012-02-25,other
52,strictly anything,72,san rafael,2012-06-29,other
30,mostly anything,66,san francisco,2012-06-29,other
58,anything,64,albany,2012-03-12,other
33,strictly anything,63,san francisco,2012-06-29,other
44,mostly anything,68,san francisco,2012-06-25,other
31,strictly anything,69,san francisco,2011-08-09,other
38,strictly anything,67,san francisco,2012-06-28,stem
47,mostly anything,63,martinez,2012-06-27,other
29,,74,san francisco,2011-09-08,stem
28,mostly vegetarian,68,san francisco,2011-12-02,stem
40,,67,san francisco,2012-06-11,other
64,mostly anything,67,berkeley,2011-12-01,other
52,,63,berkeley,2012-06-24,other
37,mostly vegetarian,64,san francisco,2012-06-25,stem
33,mostly anything,67,san francisco,2012-06-29,other
58,,72,palo alto,2012-06-29,other
43,,72,san francisco,2012-06-20,other
27,,65,berkeley,2012-05-30,stem
57,anything,68,berkeley,2012-06-25,other
64,mostly vegetarian,69,sausalito,2012-06-05,other
41,strictly anything,69,san francisco,2012-03-01,stem
35,,74,san mateo,2012-06-29,other
26,strictly anything,73,san francisco,2012-06-29,other
52,other,72,hayward,2012-06-29,other
45,mostly anything,63,san francisco,2011-10-11,other
24,strictly anything,68,san francisco,2012-06-30,other
26,anything,68,redwood city,2011-10-16,other
25,,75,belmont,2012-06-11,other
35,,73,san mateo,2012-04-06,other
25,,68,san francisco,2012-05-21,other
33,,67,san francisco,2012-06-18,stem
41,,73,san francisco,2012-06-12,other
26,mostly anything,64,emeryville,2012-06-28,other
27,,71,san francisco,2011-11-26,other
25,anything,64,san mateo,2012-06-28,other
39,,63,san francisco,2012-04-22,other
35,mostly anything,71,berkeley,2012-06-30,other
30,,64,oakland,2011-07-29,other
21,anything,74,hayward,2011-09-01,other
48,mostly anything,69,oakland,2012-06-20,other
25,,73,castro valley,2012-05-28,other
27,mostly anything,71,oakland,2012-04-22,other
20,,73,hayward,2012-06-28,other
31,anything,74,berkeley,2012-01-18,other
37,,68,oakland,2012-06-24,other
55,strictly other,64,oakland,2012-06-30,other
37,mostly other,65,oakland,2012-06-29,other
